"FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
"301014","(Time period)",,"301011","Year, month, day","Year, month, day",,"Operational"
"301014","(Time period)",,"301012","Hour, minute","Hour, minute",,"Operational"
"301021","(Latitude/longitude (high accuracy))",,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
"301021","(Latitude/longitude (high accuracy))",,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
"301022","(Latitude/longitude (high accuracy), height of station)",,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
"301022","(Latitude/longitude (high accuracy), height of station)",,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
"301022","(Latitude/longitude (high accuracy), height of station)",,"007001","Height of station","Height of station",,"Operational"
"301023","(Latitude/longitude (coarse accuracy))",,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
"301023","(Latitude/longitude (coarse accuracy))",,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
"301024","(Latitude/longitude (coarse accuracy), height of station)",,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
"301024","(Latitude/longitude (coarse accuracy), height of station)",,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
"301024","(Latitude/longitude (coarse accuracy), height of station)",,"007001","Height of station","Height of station",,"Operational"
"301025","(Latitude/longitude (coarse accuracy), day/time)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
"301025","(Latitude/longitude (coarse accuracy), day/time)",,"004003","Day","Day",,"Operational"
"301025","(Latitude/longitude (coarse accuracy), day/time)",,"301012","Hour, minute","Time",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day","(Time period in days)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day","(Time period in days)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour","(Time period in hours)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour","(Time period in hours)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute","(Time period in minutes)",,"Operational"
"301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute","(Time period in minutes)",,"Operational"
"301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance (0 = Point, 1 = Line, 2 = Area, 3 = Volume)",,"Operational"
"301027","(Description of a feature in 3-D or 2-D)",,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
"301027","(Description of a feature in 3-D or 2-D)",,"031001","Delayed descriptor replication factor","Replication factor (see Note 5)","(see Note 5)","Operational"
"301027","(Description of a feature in 3-D or 2-D)",,"301028","Horizontal section of a feature described as a polygon, circle, line or point","Description of horizontal section",,"Operational"
"301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance, Missing = Cancel",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance","Flight level significance",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"033042","Type of limit represented by following value","Type of limit represented by following (flight level) value",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"007010","Flight level","Flight level",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"031002","Extended delayed descriptor replication factor","Extended replication factor","(see Note 6)","Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"301023","Latitude/longitude (coarse accuracy)","Location",,"Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"019007","Effective radius of feature","Radius of feature","(see Note 7)","Operational"
"301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance","Flight level significance, Missing = Cancel",,"Operational"
"301029","(Identification)",,"001018","Short station or site name","Short station identifier",,"Operational"
"301029","(Identification)",,"002001","Type of station","Type of station",,"Operational"
"301029","(Identification)",,"301011","Year, month, day","Date",,"Operational"
"301030","(Identification - with physical location)",,"001018","Short station or site name","Short station identifier",,"Operational"
"301030","(Identification - with physical location)",,"002001","Type of station","Type of station",,"Operational"
"301030","(Identification - with physical location)",,"301011","Year, month, day","Date",,"Operational"
"301030","(Identification - with physical location)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude, height",,"Operational"
"301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
"301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"002001","Type of station","Type of station",,"Operational"
"301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301011","Year, month, day","Date",,"Operational"
"301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301012","Hour, minute","Time",,"Operational"
"301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
"301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
"301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"002001","Type of station","Type of station",,"Operational"
"301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301011","Year, month, day","Date",,"Operational"
"301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301012","Hour, minute","Time",,"Operational"
"301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
"301033","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
"301033","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
"301033","(Buoy/platform - fixed)",,"301011","Year, month, day","Date",,"Operational"
