"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"001192","ICAO location indicator",,"CCITT IA5","0","0","32"
"001201","Place of obs. of visibilty/cloud cover",,"Numeric","0","0","4"
"002192","Cor message mark",,"Code table","0","0","8"
"002193","Pseudo report",,"Flag table","0","0","2"
"002201","Overall quality bits",,"Code table","0","0","5"
"002221","Units of elevation/confidence factor",,"Code table","0","0","4"
"002222","Satell.data process.techn.used f.tropop.",,"Code table","0","0","4"
"004192","Duration of time relat.to follow.value",,"Code table","0","0","4"
"004193","Day of occ.of data val.of prev.element",,"d","0","0","6"
"004194","Duration of precipit.during past hour",,"min","0","0","6"
"004201","Number of days with precipitation ge 1MM",,"Numeric","0","0","6"
"004202","Number of days with spec.wea.phenomena",,"d","0","0","6"
"004214","Actual hour of observation",,"h","0","0","5"
"004215","Actual minute of observation",,"min","0","0","6"
"010192","Depth of roots",,"m","2","0","10"
"011192","U-component at 10 m",,"m/s","1","-4096","13"
"011193","V-component at 10 m",,"m/s","1","-4096","13"
"011198","Probability of gusts",,"%","0","0","7"
"012192","Ground minimum TEMP.,past 10 hours(clim)",,"K","1","0","12"
"012193","Depth of snow above ground minimum therm",,"m","2","-2","10"
"012201","Water/ice/sign(wet bulb temperature)",,"Code table","0","0","4"
"012211","Dry bulb TEMP.at 2 m, deviat.from normal",,"K","1","-128","8"
"012221","Temperat.at bottom of middle soil layer",,"K","1","0","12"
"012222","Temperature of snow cover",,"K","1","0","12"
"012223","Temperature at top of middle soil layer",,"K","1","0","12"
"013192","Frequency group , precipitation",,"Code table","0","0","4"
"013193","Total precipitation for the month",,"%","0","0","12"
"013194","Maximum of daily precipitation",,"m","4","-1","14"
"013198","Probability of precipitation",,"%","0","0","7"
"013201","Total depth of snow at snow sampler",,"m","2","-2","16"
"013202","Total water equivalent at snow sampler",,"m","4","-1","14"
"013203","Total water equivalent at snow sampler",,"M/M","2","0","7"
"013211","Soil humidity",,"m","-3","0","7"
"013221","Total water contents in lower soil layer",,"m","4","0","14"
"013222","Total water contents i.middle soil layer",,"m","4","0","14"
"013223","Total water contents i.upper soil layer",,"m","4","0","14"
"013224","Specific humidity at surf./earth or snow",,"kg/kg","5","0","14"
"013225","Large scale rain during forecast time",,"m","4","0","14"
"013226","Large scale snow during forecast time",,"m","4","0","14"
"013227","Convective rain during forecast time",,"m","4","0","14"
"013228","Convective snow during forecast time",,"m","4","0","14"
"013229","Mixing ratio in fog",,"kg/kg","5","0","14"
"014192","Total sunshine for the month",,"%","0","0","9"
"014198","Sunshine",,"%","0","0","7"
"014201","Photosythetic active radiation at surf.",,"J m-2","-3","-2048","12"
"014202","Albedo of surface (short wave)",,"%","0","0","7"
"015192","Ozone, vertically integrated",,"Pa","1","0","14"
"015193","Pressure of ozone maximum",,"Pa","-1","0","14"
"020192","Type of special weather phenomena",,"Code table","0","0","5"
"020193","Additional weather phenomena",,"Code table","0","0","7"
"020194","Height of top of phenomena",,"m","-1","-40","11"
"020195","Weather phenomena",,"Code table","0","0","4"
"020196","Direction of main occ.of weather phen.",,"deg","0","0","12"
"020197","Base of cloud class",,"Numeric","0","0","4"
"020198","Number of values in base of cloud class",,"Numeric","0","0","4"
"020199","Lowest height o.base o.cloud dur.last h.",,"m","-1","-40","11"
"020201","Precipit.at time of observ.(autom.stat.)",,"Code table","0","0","2"
"020202","Present weather (climatolog.observation)",,"Code table","0","0","8"
"020203","Form of precipitation",,"Code table","0","0","4"
"020204","Fallen precipitation (day before)",,"Code table","0","0","6"
"020205","Dew, rime etc. (day before)",,"Code table","0","0","7"
"020206","Other weather (day before)",,"Code table","0","0","4"
"020211","Precipitation during preceding hour y/n",,"Code table","0","0","2"
"024192","Type of observation",,"Code table","0","0","4"
"024193","Method of observation",,"Code table","0","0","7"
"024194","Status of observation",,"Code table","0","0","7"
"024195","Nuclid",,"Code table","0","0","10"
"024196","Base of observed value",,"Numeric","0","0","10"
"024197","Exponent of observed value",,"Numeric","0","-15","5"
"024198","Indicator on observed value",,"Code table","0","0","2"
"024199","Unit of observed value",,"Code table","0","0","7"
"024200","Error of observed data",,"%","1","0","10"
"024201","Routine/special/test observation",,"Code table","0","0","2"
"051192","Short distance lightning",,"Numeric","0","0","7"
"051193","Distant lightning",,"Numeric","0","0","7"
"052192","Land sea ratio",,"%","0","0","7"
"052193","Coeff.of turb.tranf.of impulse,surface",,"Code table","0","0","7"
"052194","Coeff.of turb.tranf.of heat/hum.,surface",,"Code table","0","0","7"
"052195","Impulse flow(u) at surf.,period specif.",,"G/(M*S**2)","0","-2048","12"
"052196","Impulse flow(v) at surf.,period specif.",,"G/(M*S**2)","0","-2048","12"
"052197","Flow of sens.heat at surf.,period spec.",,"J m-2","-3","-2048","12"
"052198","Flow of lat.heat at surf.,period specif.",,"J m-2","-3","-2048","12"
"052199","Roughness length (multiplied by g)",,"m2 s-2","2","0","12"
"053001","Geopotential,dev.from first guess",,"m2 s-2","0","-10000","16"
"053002","U-component,dev.from first guess",,"m/s","1","-2000","13"
"053003","V-component,dev.from first guess",,"m/s","1","-2000","13"
"053004","Rel.humidity,dev.from first guess",,"%","1","-1000","12"
"053005","Thickness,dev.from first guess",,"m2 s-2","0","-10000","16"
"053011","Geopotential,dev.from analysis",,"m2 s-2","0","-10000","16"
"053012","U-component,dev.from analysis",,"m/s","1","-2000","13"
"053013","V-component,dev.from analysis",,"m/s","1","-2000","13"
"053014","Rel.humidity,dev.from analysis",,"%","1","-1000","12"
"053015","Thickness,dev.from analysis",,"m2 s-2","0","-10000","16"
"053021","Geopotential,dev.fr.initialized analysis",,"m2 s-2","0","-10000","16"
"053022","U-component,dev.fr.initialized analysis",,"m/s","1","-2000","13"
"053023","V-component,dev.fr.initialized analysis",,"m/s","1","-2000","13"
"053024","Rel.humidity,dev.fr.initialized analysis",,"%","1","-1000","12"
"053025","Thickness,dev.fr.initialized analysis",,"m2 s-2","0","-10000","16"
"053031","Geopotential,dev.from forecast a",,"m2 s-2","0","-10000","16"
"053032","U-component,dev.from forecast a",,"m/s","1","-2000","13"
"053033","V-component,dev.from forecast a",,"m/s","1","-2000","13"
"053034","Rel.humidity,dev.from forecast a",,"%","1","-1000","12"
"053035","Thickness,dev.from forecast a",,"m2 s-2","0","-10000","16"
"053041","Geopotential,dev.from forecast b",,"m2 s-2","0","-10000","16"
"053042","U-component,dev.from forecast b",,"m/s","1","-2000","13"
"053043","V-component,dev.from forecast b",,"m/s","1","-2000","13"
"053044","Rel.humidity,dev.from forecast b",,"%","1","-1000","12"
"053045","Thickness,dev.from forecast b",,"m2 s-2","0","-10000","16"
"053051","Geopotential,dev.from forecast c",,"m2 s-2","0","-10000","16"
"053052","U-component,dev.from forecast c",,"m/s","1","-2000","13"
"053053","V-component,dev.from forecast c",,"m/s","1","-2000","13"
"053054","Rel.humidity,dev.from forecast c",,"%","1","-1000","12"
"053055","Thickness,dev.from forecast c",,"m2 s-2","0","-10000","16"
"053061","Geopotential, quality flags",,"Flag table","0","0","14"
"053062","U-component, quality flags",,"Flag table","0","0","14"
"053063","V-component, quality flags",,"Flag table","0","0","14"
"053064","Rel.humidity, quality flags",,"Flag table","0","0","14"
"053065","Thickness, quality flags",,"Flag table","0","0","14"
"054201","Year of decoding",,"a","0","0","12"
"054202","Month of decoding",,"mon","0","0","4"
"054203","Day of decoding",,"d","0","0","6"
"054204","Hour of decoding",,"h","0","0","5"
"054205","Minute of decoding",,"min","0","0","6"
"054211","Number of day of mrz back-up file",,"d","0","0","6"
"054212","Number of record on mrz back-up file",,"Numeric","0","0","18"
"054213","Decoding running on mfa/mfb (values 1/0)",,"Numeric","0","0","2"
"055192","Kind of plants",,"Code table","0","0","7"
"055193","Step of growth",,"Code table","0","0","7"
"055194","Progress of growth",,"Code table","0","0","4"
"055195","Plant damage",,"Code table","0","0","4"
"055201","Type of land surface",,"Code table","0","0","5"
"055202","Plant cover",,"%","0","0","7"
"055203","Leaf area index",,"%","0","0","7"
