"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"010200","Mean dynamic topography accuracy",,"m","3","-131072","18"
"021192","Cloud RADAR reflectivity",,"dbZ","2","-9000","15"
"021193","Cloud RADAR reflectivity uncertainty",,"dB","2","-9000","15"
"021194","RADAR data classification type",,"Numeric","0","0","8"
"021195","Cloud fraction",,"Numeric","3","0","11"
"021196","Standard deviation of cloud reflectivity",,"dB","2","0","14"
"021197","Hight",,"m","0","-5000","18"
"021198","Standard deviation of attenuated backscatter",,"M-1SR-1","2","0","14"
"021199","Standard deviation of extinction coefficient",,"M-1","2","0","14"
"025192","Pressure code",,"Code table","0","0","2"
"025200","Band specific ocean quality flag",,"Flag table","0","0","9"
"025201","Altimeter echo processing mode",,"Code table","0","0","8"
"025202","Altimeter tracking mode",,"CODE TABLE","0","0","8"
"025203","Sea ice freeboard",,"m","3","-131072","18"
"033192","Surface pressure bias correction",,"Numeric","2","-300000","19"
