"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"001192","ICAO location indicator",,"CCITT IA5","0","0","32"
"001201","Place of obs. of visibilty/cloud cover",,"Numeric","0","0","4"
"002192","Cor message mark",,"Code table","0","0","8"
"002193","Pseudo report",,"Flag table","0","0","2"
"002201","Overall quality bits",,"Code table","0","0","5"
"002221","Units of elevation/confidence factor",,"Code table","0","0","4"
"002222","Satell.data process.techn.used f.tropop.",,"Code table","0","0","4"
"002231","Verification: observation code type",,"Code table","0","0","8"
"004192","Duration of time relat.to follow.value",,"Code table","0","0","4"
"004193","Day of occ.of data val.of prev.element",,"d","0","0","6"
"004194","Duration of precipit.during past hour",,"min","0","0","6"
"004201","Number of days with precipitation ge 1MM",,"Numeric","0","0","6"
"004202","Number of days with spec.wea.phenomena",,"d","0","0","6"
"004214","Actual hour of observation",,"h","0","0","5"
"004215","Actual minute of observation",,"min","0","0","6"
"005195","Ensemble member number (ecmf)",,"Numeric","0","0","7"
"005231","Verif.:x-coord.of ref.model grid point",,"Numeric","0","0","12"
"005232","Verif.:number of grid points in x direct",,"Numeric","0","0","12"
"006231","Verif.:y-coord.of ref.model grid point",,"Numeric","0","0","12"
"006232","Verif.:number of grid points in y direct",,"Numeric","0","0","12"
"007231","Height of model orography",,"m","0","-400","15"
"008192","Field from which deviation is calculated",,"Code table","0","0","6"
"008195","Data type (ecmf)",,"Code table","0","0","7"
"008231","Verification: report characteristics",,"Code table","0","0","10"
"010192","Depth of roots",,"m","2","0","10"
"011192","U-component at 10 m",,"m/s","1","-4096","13"
"011193","V-component at 10 m",,"m/s","1","-4096","13"
"011198","Probability of gusts",,"%","0","0","7"
"012192","Ground minimum TEMP.,past 10 hours(clim)",,"K","1","0","12"
"012193","Depth of snow above ground minimum therm",,"m","2","-2","10"
"012194","Ground minimum TEMP.,period specified",,"K","1","0","12"
"012195","Snow above ground minimum therm., y/n",,"Code table","0","0","2"
"012199","Max. temper. at 2 m, past 6 hours, ecmf",,"K","1","0","12"
"012200","Min. temper. at 2 m, past 6 hours, ecmf",,"K","1","0","12"
"012201","Water/ice/sign(wet bulb temperature)",,"Code table","0","0","4"
"012211","Dry bulb TEMP.at 2 m, deviat.from normal",,"K","1","-128","8"
"012221","Temperat.at bottom of middle soil layer",,"K","1","0","12"
"012222","Temperature of snow cover",,"K","1","0","12"
"012223","Temperature at top of middle soil layer",,"K","1","0","12"
"013192","Frequency group, prec. (until 1 nov 94)",,"Code table","0","0","4"
"013193","Total precipitation for the month",,"%","0","0","12"
"013194","Maximum of daily precipitation",,"m","4","-1","14"
"013198","Probability of precipitation",,"%","0","0","7"
"013201","Total depth of snow at snow sampler",,"m","2","-2","16"
"013202","Total water equivalent at snow sampler",,"m","4","-1","14"
"013203","Total water equivalent at snow sampler",,"M/M","2","0","7"
"013204","Snow, large scale + convective",,"kg m-2","1","-1","14"
"013205","Large scale precipition (rain and snow)",,"m","4","0","14"
"013206","Convective precipition (rain and snow)",,"m","4","0","14"
"013207","Skin reservoir content",,"m","5","0","20"
"013208","Surface water runoff",,"kg m-2","2","-1","19"
"013209","Ground water runoff",,"kg m-2","2","-1","19"
"013211","Soil humidity",,"m","-3","0","7"
"013221","Total water contents in lower soil layer",,"m","4","0","14"
"013222","Total water contents i.middle soil layer",,"m","4","0","14"
"013223","Total water contents i.upper soil layer",,"m","4","0","14"
"013224","Specific humidity at surf./earth or snow",,"kg/kg","5","0","14"
"013225","Large scale rain during forecast time",,"m","4","0","14"
"013226","Large scale snow during forecast time",,"m","4","0","14"
"013227","Convective rain during forecast time",,"m","4","0","14"
"013228","Convective snow during forecast time",,"m","4","0","14"
"013229","Mixing ratio in fog",,"kg/kg","5","0","14"
"013230","Cloud water content",,"kg/kg","7","0","14"
"014192","Total sunshine for the month",,"%","0","0","9"
"014198","Sunshine",,"%","0","0","7"
"014201","Photosythetic active radiation at surf.",,"J m-2","-3","-2048","12"
"014202","Albedo of surface (short wave)",,"%","0","0","7"
"015192","Ozone, vertically integrated",,"Pa","4","0","14"
"015193","Pressure of ozone maximum",,"Pa","-1","0","14"
"020192","Type of special weather phenomena",,"Code table","0","0","5"
"020193","Additional weather phenomena",,"Code table","0","0","7"
"020194","Height of top of phenomena",,"m","-1","-40","11"
"020195","Weather phenomena",,"Code table","0","0","4"
"020196","Direction of main occ.of weather phen.",,"deg","0","0","12"
"020197","Base of cloud class",,"Numeric","0","0","4"
"020198","Number of values in base of cloud class",,"Numeric","0","0","4"
"020199","Lowest height o.base o.cloud dur.last h.",,"m","-1","-40","11"
"020200","Amount of (convective) clouds",,"%","0","0","7"
"020201","Precipit.at time of observ.(autom.stat.)",,"Code table","0","0","2"
"020202","Present weather (climatolog.observation)",,"Code table","0","0","8"
"020203","Form of precipitation",,"Code table","0","0","4"
"020204","Fallen precipitation (day before)",,"Code table","0","0","6"
"020205","Dew, rime etc. (day before)",,"Code table","0","0","7"
"020206","Other weather (day before)",,"Code table","0","0","4"
"020211","Precipitation during preceding hour y/n",,"Code table","0","0","2"
"020221","Intensity or proximity of weather",,"Code table","0","0","3"
"020222","Descriptor of weather",,"CCITT IA5","0","0","16"
"020223","Weather phenomena (METAR)",,"CCITT IA5","0","0","48"
"020231","Vertical cloud amount",,"%","0","0","7"
"020232","Modified cloud amount",,"%","0","0","7"
"020233","Verification: derived low cloud cover",,"%","0","0","7"
"020234","Max. meteorolog. optical range",,"m","0","0","14"
"020235","Min. meteorolog. optical range",,"m","0","0","14"
"020236","Meteorolog. optical range",,"m","0","0","14"
"024192","Type of observation",,"Code table","0","0","4"
"024193","Method of observation",,"Code table","0","0","7"
"024194","Status of observation",,"Code table","0","0","7"
"024195","Nuclid",,"Code table","0","0","10"
"024196","Base of observed value",,"Numeric","0","0","10"
"024197","Exponent of observed value",,"Numeric","0","-15","5"
"024198","Indicator on observed value",,"Code table","0","0","2"
"024199","Unit of observed value",,"Code table","0","0","7"
"024200","Error of observed data",,"%","1","0","10"
"024201","Routine/special/test observation",,"Code table","0","0","2"
"051192","Short distance lightning",,"Numeric","0","0","7"
"051193","Distant lightning",,"Numeric","0","0","7"
"052192","Land sea ratio",,"%","0","0","7"
"052193","Coeff.of turb.tranf.of impulse,surface",,"Code table","5","0","17"
"052194","Coeff.of turb.tranf.of heat/hum.,surface",,"Code table","5","0","17"
"052195","Impulse flow(u) at surf.,period specif.",,"G/(M*S**2)","0","-2048","12"
"052196","Impulse flow(v) at surf.,period specif.",,"G/(M*S**2)","0","-2048","12"
"052197","Flow of sens.heat at surf.,period spec.",,"J m-2","-3","-16384","15"
"052198","Flow of lat.heat at surf.,period specif.",,"J m-2","-3","-16384","15"
"052199","Roughness length (multiplied by g)",,"m2 s-2","2","0","12"
"052200","Boundary layer dissipation",,"J m-2","-3","-2048","12"
"052201","Soil heat flux, surface",,"J m-2","-2","-16384","15"
"052202","Soil heat flux, bottom of layer 1",,"J m-2","-2","-16384","15"
"053001","Geopotential,dev.from first guess",,"m2 s-2","0","-10000","16"
"053002","U-component,dev.from first guess",,"m/s","1","-2000","13"
"053003","V-component,dev.from first guess",,"m/s","1","-2000","13"
"053004","Rel.humidity,dev.from first guess",,"%","1","-1000","12"
"053005","Thickness,dev.from first guess",,"m2 s-2","0","-10000","16"
"053011","Geopotential,dev.from analysis",,"m2 s-2","0","-10000","16"
"053012","U-component,dev.from analysis",,"m/s","1","-2000","13"
"053013","V-component,dev.from analysis",,"m/s","1","-2000","13"
"053014","Rel.humidity,dev.from analysis",,"%","1","-1000","12"
"053015","Thickness,dev.from analysis",,"m2 s-2","0","-10000","16"
"053021","Geopotential,dev.fr.initialized analysis",,"m2 s-2","0","-10000","16"
"053022","U-component,dev.fr.initialized analysis",,"m/s","1","-2000","13"
"053023","V-component,dev.fr.initialized analysis",,"m/s","1","-2000","13"
"053024","Rel.humidity,dev.fr.initialized analysis",,"%","1","-1000","12"
"053025","Thickness,dev.fr.initialized analysis",,"m2 s-2","0","-10000","16"
"053031","Geopotential,dev.from forecast a",,"m2 s-2","0","-10000","16"
"053032","U-component,dev.from forecast a",,"m/s","1","-2000","13"
"053033","V-component,dev.from forecast a",,"m/s","1","-2000","13"
"053034","Rel.humidity,dev.from forecast a",,"%","1","-1000","12"
"053035","Thickness,dev.from forecast a",,"m2 s-2","0","-10000","16"
"053041","Geopotential,dev.from forecast b",,"m2 s-2","0","-10000","16"
"053042","U-component,dev.from forecast b",,"m/s","1","-2000","13"
"053043","V-component,dev.from forecast b",,"m/s","1","-2000","13"
"053044","Rel.humidity,dev.from forecast b",,"%","1","-1000","12"
"053045","Thickness,dev.from forecast b",,"m2 s-2","0","-10000","16"
"053051","Geopotential,dev.from forecast c",,"m2 s-2","0","-10000","16"
"053052","U-component,dev.from forecast c",,"m/s","1","-2000","13"
"053053","V-component,dev.from forecast c",,"m/s","1","-2000","13"
"053054","Rel.humidity,dev.from forecast c",,"%","1","-1000","12"
"053055","Thickness,dev.from forecast c",,"m2 s-2","0","-10000","16"
"053061","Geopotential, quality flags",,"Flag table","0","0","32"
"053062","U-component, quality flags",,"Flag table","0","0","32"
"053063","V-component, quality flags",,"Flag table","0","0","32"
"053064","Rel.humidity, quality flags",,"Flag table","0","0","32"
"053065","Thickness, quality flags",,"Flag table","0","0","32"
"053066","Temperature,quality flags",,"Flag table","0","0","32"
"053067","Pressure at obs.level,quality flags",,"Flag table","0","0","32"
"053068","Dew point temperature,quality flags",,"Flag table","0","0","32"
