"FXY","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en"
"033205","3","DATUM INCORRECT",,,
"033205","4","NOT DEFINED",,,
"033205","5","NOT DEFINED",,,
"033205","6","NOT DEFINED",,,
"033205","7","NOT DEFINED",,,
"033205","8","NOT DEFINED",,,
"033205","9","NOT DEFINED",,,
"033205","10","NOT DEFINED",,,
"033205","11","NOT DEFINED",,,
"033205","12","NOT DEFINED",,,
"033205","13","NOT DEFINED",,,
"033205","14","NOT DEFINED",,,
"033205","15","MISSING VALUE",,,
"033206","0","DATUM CORRECT",,,
"033206","1","DATUM PROBABLY CORRECT",,,
"033206","2","DATUM PROBABLY INCORRECT",,,
"033206","3","DATUM INCORRECT",,,
"033206","4","NOT DEFINED",,,
"033206","5","NOT DEFINED",,,
"033206","6","NOT DEFINED",,,
"033206","7","NOT DEFINED",,,
"033206","8","NOT DEFINED",,,
"033206","9","NOT DEFINED",,,
"033206","10","NOT DEFINED",,,
"033206","11","NOT DEFINED",,,
"033206","12","NOT DEFINED",,,
"033206","13","NOT DEFINED",,,
"033206","14","NOT DEFINED",,,
"033206","15","MISSING VALUE",,,
"033207","0","DATUM CORRECT",,,
"033207","1","DATUM PROBABLY CORRECT",,,
"033207","2","DATUM PROBABLY INCORRECT",,,
"033207","3","DATUM INCORRECT",,,
"033207","4","NOT DEFINED",,,
"033207","5","NOT DEFINED",,,
"033207","6","NOT DEFINED",,,
"033207","7","NOT DEFINED",,,
"033207","8","NOT DEFINED",,,
"033207","9","NOT DEFINED",,,
"033207","10","NOT DEFINED",,,
"033207","11","NOT DEFINED",,,
"033207","12","NOT DEFINED",,,
"033207","13","NOT DEFINED",,,
"033207","14","NOT DEFINED",,,
"033207","15","MISSING VALUE",,,
"033208","0","DATUM CORRECT",,,
"033208","1","DATUM PROBABLY CORRECT",,,
"033208","2","DATUM PROBABLY INCORRECT",,,
"033208","3","DATUM INCORRECT",,,
"033208","4","NOT DEFINED",,,
"033208","5","NOT DEFINED",,,
"033208","6","NOT DEFINED",,,
"033208","7","NOT DEFINED",,,
"033208","8","NOT DEFINED",,,
"033208","9","NOT DEFINED",,,
"033208","10","NOT DEFINED",,,
"033208","11","NOT DEFINED",,,
"033208","12","NOT DEFINED",,,
"033208","13","NOT DEFINED",,,
"033208","14","NOT DEFINED",,,
"033208","15","MISSING VALUE",,,
"033209","0","DATUM CORRECT",,,
"033209","1","DATUM PROBABLY CORRECT",,,
"033209","2","DATUM PROBABLY INCORRECT",,,
"033209","3","DATUM INCORRECT",,,
"033209","4","NOT DEFINED",,,
"033209","5","NOT DEFINED",,,
"033209","6","NOT DEFINED",,,
"033209","7","NOT DEFINED",,,
"033209","8","NOT DEFINED",,,
"033209","9","NOT DEFINED",,,
"033209","10","NOT DEFINED",,,
"033209","11","NOT DEFINED",,,
"033209","12","NOT DEFINED",,,
"033209","13","NOT DEFINED",,,
"033209","14","NOT DEFINED",,,
"033209","15","MISSING VALUE",,,
"033220","1","NOT DEFINED",,,
"033220","2","NOT DEFINED",,,
"033220","3","NOT DEFINED",,,
"033220","4","NOT DEFINED",,,
"033220","5","NOT DEFINED",,,
"033220","6","NOT DEFINED",,,
"033220","7","NOT DEFINED",,,
"033220","8","NOT DEFINED",,,
"033220","9","NOT DEFINED",,,
"033220","10","NOT DEFINED",,,
"033220","11","NOT DEFINED",,,
"033220","12","NOT DEFINED",,,
"033220","13","NOT DEFINED",,,
"033220","14","NOT DEFINED",,,
"033220","15","NOT DEFINED",,,
"033220","16","REPORT REJECTED THROUGH THE NAMELIST",,,
"033220","17","MODEL SUR. TOO FAR FROM STAT. ALT.",,,
"033220","18","MISSING STATION ALTITUDE",,,
"033220","19","REPORT OVER SEA",,,
"033220","20","REPORT OVER LAND",,,
"033220","21","REDUNDANT REPORT",,,
"033220","22","TIME OUT OF RANGE",,,
"033220","23","VERTICAL POSITION OUT OF RANGE",,,
"033220","24","HORIZONTAL POSITION OUT OF RANGE",,,
"033220","25","ACTIVATED BY WHITELIST",,,
"033220","26","ACTIVATED DUE TO RDB FLAG",,,
"033220","27","REJECTED DUE TO RDB FLAG",,,
"033220","28","BAD REPORTING PRACTICE",,,
"033220","29","ALL DATA REJECTED",,,
"033220","30","NO DATA IN THE REPORT",,,
"033221","1","NOT DEFINED",,,
"033221","2","NOT DEFINED",,,
"033221","3","NOT DEFINED",,,
"033221","4","NOT DEFINED",,,
"033221","5","NOT DEFINED",,,
"033221","6","NOT DEFINED",,,
"033221","7","NOT DEFINED",,,
"033221","8","NOT DEFINED",,,
"033221","9","NOT DEFINED",,,
"033221","10","NOT DEFINED",,,
"033221","11","NOT DEFINED",,,
"033221","12","NOT DEFINED",,,
"033221","13","NOT DEFINED",,,
"033221","14","NOT DEFINED",,,
"033221","15","NOT DEFINED",,,
"033221","16","NOT DEFINED",,,
"033221","17","NOT DEFINED",,,
"033221","18","NOT DEFINED",,,
"033221","19","NOT DEFINED",,,
"033221","20","NOT DEFINED",,,
"033221","21","NOT DEFINED",,,
"033221","22","NOT DEFINED",,,
"033221","23","NOT DEFINED",,,
"033221","24","NOT DEFINED",,,
"033221","25","NOT DEFINED",,,
"033221","26","NOT DEFINED",,,
"033221","27","NOT DEFINED",,,
"033221","28","NOT DEFINED",,,
"033221","29","NOT DEFINED",,,
"033221","30","NOT DEFINED",,,
"033222","1","NOT DEFINED",,,
"033222","2","NOT DEFINED",,,
"033222","3","NOT DEFINED",,,
"033222","4","NOT DEFINED",,,
"033222","5","NOT DEFINED",,,
"033222","6","NOT DEFINED",,,
"033222","7","NOT DEFINED",,,
"033222","8","NOT DEFINED",,,
"033222","9","NOT DEFINED",,,
"033222","10","NOT DEFINED",,,
"033222","11","NOT DEFINED",,,
"033222","12","NOT DEFINED",,,
"033222","13","NOT DEFINED",,,
"033222","14","NOT DEFINED",,,
"033222","15","NOT DEFINED",,,
"033222","16","NOT DEFINED",,,
"033222","17","NOT DEFINED",,,
"033222","18","NOT DEFINED",,,
"033222","19","NOT DEFINED",,,
"033222","20","NOT DEFINED",,,
"033222","21","NOT DEFINED",,,
"033222","22","NOT DEFINED",,,
"033222","23","NOT DEFINED",,,
"033222","24","NOT DEFINED",,,
"033222","25","NOT DEFINED",,,
"033222","26","NOT DEFINED",,,
"033222","27","NOT DEFINED",,,
"033222","28","NOT DEFINED",,,
"033222","29","NOT DEFINED",,,
"033222","30","NOT DEFINED",,,
"033223","1","NOT DEFINED",,,
"033223","2","NOT DEFINED",,,
"033223","3","NOT DEFINED",,,
"033223","4","NOT DEFINED",,,
"033223","5","NOT DEFINED",,,
"033223","6","NOT DEFINED",,,
"033223","7","NOT DEFINED",,,
"033223","8","NOT DEFINED",,,
"033223","9","NOT DEFINED",,,
"033223","10","NOT DEFINED",,,
"033223","11","NOT DEFINED",,,
"033223","12","NOT DEFINED",,,
"033223","13","NOT DEFINED",,,
"033223","14","NOT DEFINED",,,
"033223","15","NOT DEFINED",,,
"033223","16","NOT DEFINED",,,
"033223","17","NOT DEFINED",,,
"033223","18","NOT DEFINED",,,
"033223","19","NOT DEFINED",,,
"033223","20","NOT DEFINED",,,
"033223","21","NOT DEFINED",,,
"033223","22","NOT DEFINED",,,
"033223","23","NOT DEFINED",,,
"033223","24","NOT DEFINED",,,
"033223","25","NOT DEFINED",,,
"033223","26","NOT DEFINED",,,
"033223","27","NOT DEFINED",,,
"033223","28","NOT DEFINED",,,
"033223","29","NOT DEFINED",,,
"033223","30","NOT DEFINED",,,
"033224","1","NOT DEFINED",,,
"033224","2","NOT DEFINED",,,
"033224","3","NOT DEFINED",,,
"033224","4","NOT DEFINED",,,
"033224","5","NOT DEFINED",,,
"033224","6","NOT DEFINED",,,
"033224","7","NOT DEFINED",,,
"033224","8","NOT DEFINED",,,
"033224","9","NOT DEFINED",,,
"033224","10","NOT DEFINED",,,
"033224","11","NOT DEFINED",,,
"033224","12","NOT DEFINED",,,
"033224","13","NOT DEFINED",,,
"033224","14","NOT DEFINED",,,
"033224","15","NOT DEFINED",,,
"033224","16","NOT DEFINED",,,
"033224","17","NOT DEFINED",,,
"033224","18","NOT DEFINED",,,
"033224","19","NOT DEFINED",,,
"033224","20","NOT DEFINED",,,
"033224","21","NOT DEFINED",,,
"033224","22","NOT DEFINED",,,
"033224","23","NOT DEFINED",,,
"033224","24","NOT DEFINED",,,
"033224","25","NOT DEFINED",,,
"033224","26","NOT DEFINED",,,
"033224","27","NOT DEFINED",,,
"033224","28","NOT DEFINED",,,
"033224","29","NOT DEFINED",,,
"033224","30","NOT DEFINED",,,
"033225","1","NOT DEFINED",,,
"033225","2","NOT DEFINED",,,
"033225","3","NOT DEFINED",,,
"033225","4","NOT DEFINED",,,
"033225","5","NOT DEFINED",,,
"033225","6","NOT DEFINED",,,
"033225","7","NOT DEFINED",,,
"033225","8","NOT DEFINED",,,
"033225","9","NOT DEFINED",,,
"033225","10","NOT DEFINED",,,
"033225","11","NOT DEFINED",,,
"033225","12","NOT DEFINED",,,
"033225","13","NOT DEFINED",,,
"033225","14","NOT DEFINED",,,
"033225","15","NOT DEFINED",,,
"033225","16","NOT DEFINED",,,
"033225","17","NOT DEFINED",,,
"033225","18","NOT DEFINED",,,
"033225","19","NOT DEFINED",,,
"033225","20","NOT DEFINED",,,
"033225","21","NOT DEFINED",,,
"033225","22","NOT DEFINED",,,
"033225","23","NOT DEFINED",,,
"033225","24","NOT DEFINED",,,
"033225","25","NOT DEFINED",,,
"033225","26","NOT DEFINED",,,
"033225","27","NOT DEFINED",,,
"033225","28","NOT DEFINED",,,
"033225","29","NOT DEFINED",,,
"033225","30","NOT DEFINED",,,
"033226","1","NOT DEFINED",,,
"033226","2","NOT DEFINED",,,
"033226","3","NOT DEFINED",,,
"033226","4","NOT DEFINED",,,
"033226","5","NOT DEFINED",,,
"033226","6","NOT DEFINED",,,
"033226","7","NOT DEFINED",,,
"033226","8","NOT DEFINED",,,
"033226","9","NOT DEFINED",,,
"033226","10","NOT DEFINED",,,
"033226","11","NOT DEFINED",,,
"033226","12","NOT DEFINED",,,
"033226","13","NOT DEFINED",,,
"033226","14","NOT DEFINED",,,
"033226","15","NOT DEFINED",,,
"033226","16","NOT DEFINED",,,
"033226","17","NOT DEFINED",,,
"033226","18","NOT DEFINED",,,
"033226","19","NOT DEFINED",,,
"033226","20","NOT DEFINED",,,
"033226","21","NOT DEFINED",,,
"033226","22","NOT DEFINED",,,
"033226","23","NOT DEFINED",,,
"033226","24","NOT DEFINED",,,
"033226","25","NOT DEFINED",,,
"033226","26","NOT DEFINED",,,
"033226","27","NOT DEFINED",,,
"033226","28","NOT DEFINED",,,
"033226","29","NOT DEFINED",,,
"033226","30","NOT DEFINED",,,
"033227","1","NOT DEFINED",,,
"033227","2","NOT DEFINED",,,
"033227","3","NOT DEFINED",,,
"033227","4","NOT DEFINED",,,
"033227","5","NOT DEFINED",,,
"033227","6","NOT DEFINED",,,
"033227","7","NOT DEFINED",,,
"033227","8","NOT DEFINED",,,
"033227","9","NOT DEFINED",,,
"033227","10","NOT DEFINED",,,
"033227","11","NOT DEFINED",,,
"033227","12","NOT DEFINED",,,
"033227","13","NOT DEFINED",,,
"033227","14","NOT DEFINED",,,
"033227","15","NOT DEFINED",,,
"033227","16","NOT DEFINED",,,
"033227","17","NOT DEFINED",,,
"033227","18","NOT DEFINED",,,
"033227","19","NOT DEFINED",,,
"033227","20","NOT DEFINED",,,
"033227","21","NOT DEFINED",,,
"033227","22","NOT DEFINED",,,
"033227","23","NOT DEFINED",,,
"033227","24","NOT DEFINED",,,
"033227","25","NOT DEFINED",,,
"033227","26","NOT DEFINED",,,
"033227","27","NOT DEFINED",,,
"033227","28","NOT DEFINED",,,
"033227","29","NOT DEFINED",,,
"033227","30","NOT DEFINED",,,
"033228","1","NOT DEFINED",,,
"033228","2","NOT DEFINED",,,
"033228","3","NOT DEFINED",,,
"033228","4","NOT DEFINED",,,
"033228","5","NOT DEFINED",,,
"033228","6","NOT DEFINED",,,
"033228","7","NOT DEFINED",,,
"033228","8","NOT DEFINED",,,
"033228","9","NOT DEFINED",,,
"033228","10","NOT DEFINED",,,
"033228","11","NOT DEFINED",,,
"033228","12","NOT DEFINED",,,
"033228","13","NOT DEFINED",,,
"033228","14","NOT DEFINED",,,
"033228","15","NOT DEFINED",,,
"033228","16","NOT DEFINED",,,
"033228","17","NOT DEFINED",,,
"033228","18","NOT DEFINED",,,
"033228","19","NOT DEFINED",,,
"033228","20","NOT DEFINED",,,
"033228","21","NOT DEFINED",,,
"033228","22","NOT DEFINED",,,
"033228","23","NOT DEFINED",,,
"033228","24","NOT DEFINED",,,
"033228","25","NOT DEFINED",,,
"033228","26","NOT DEFINED",,,
"033228","27","NOT DEFINED",,,
"033228","28","NOT DEFINED",,,
"033228","29","NOT DEFINED",,,
"033228","30","NOT DEFINED",,,
"033229","1","NOT DEFINED",,,
"033229","2","NOT DEFINED",,,
"033229","3","NOT DEFINED",,,
"033229","4","NOT DEFINED",,,
"033229","5","NOT DEFINED",,,
"033229","6","NOT DEFINED",,,
"033229","7","NOT DEFINED",,,
"033229","8","NOT DEFINED",,,
"033229","9","NOT DEFINED",,,
"033229","10","NOT DEFINED",,,
"033229","11","NOT DEFINED",,,
"033229","12","NOT DEFINED",,,
"033229","13","NOT DEFINED",,,
"033229","14","NOT DEFINED",,,
"033229","15","NOT DEFINED",,,
"033229","16","NOT DEFINED",,,
"033229","17","NOT DEFINED",,,
"033229","18","NOT DEFINED",,,
"033229","19","NOT DEFINED",,,
"033229","20","NOT DEFINED",,,
"033229","21","NOT DEFINED",,,
"033229","22","NOT DEFINED",,,
"033229","23","NOT DEFINED",,,
"033229","24","NOT DEFINED",,,
"033229","25","NOT DEFINED",,,
"033229","26","NOT DEFINED",,,
"033229","27","NOT DEFINED",,,
"033229","28","NOT DEFINED",,,
"033229","29","NOT DEFINED",,,
"033229","30","THINNED REPORT",,,
"033230","1","NOT DEFINED",,,
"033230","2","NOT DEFINED",,,
"033230","3","NOT DEFINED",,,
"033230","4","NOT DEFINED",,,
"033230","5","NOT DEFINED",,,
"033230","6","NOT DEFINED",,,
"033230","7","NOT DEFINED",,,
"033230","8","NOT DEFINED",,,
"033230","9","NOT DEFINED",,,
"033230","10","NOT DEFINED",,,
"033230","11","NOT DEFINED",,,
"033230","12","NOT DEFINED",,,
"033230","13","NOT DEFINED",,,
"033230","14","NOT DEFINED",,,
"033230","15","NOT DEFINED",,,
"033230","16","NOT DEFINED",,,
"033230","17","NOT DEFINED",,,
"033230","18","NOT DEFINED",,,
"033230","19","NOT DEFINED",,,
"033230","20","NOT DEFINED",,,
"033230","21","NOT DEFINED",,,
"033230","22","NOT DEFINED",,,
"033230","23","NOT DEFINED",,,
"033230","24","NOT DEFINED",,,
"033230","25","NOT DEFINED",,,
"033230","26","NOT DEFINED",,,
"033230","27","NOT DEFINED",,,
"033230","28","NOT DEFINED",,,
"033230","29","NOT DEFINED",,,
"033230","30","NOT DEFINED",,,
"033232","1","NOT DEFINED",,,
"033232","2","NOT DEFINED",,,
"033232","3","NOT DEFINED",,,
"033232","4","NOT DEFINED",,,
"033232","5","NOT DEFINED",,,
"033232","6","NOT DEFINED",,,
"033232","7","NOT DEFINED",,,
"033232","8","NOT DEFINED",,,
"033232","9","NOT DEFINED",,,
"033232","10","NOT DEFINED",,,
"033232","11","NOT DEFINED",,,
"033232","12","NOT DEFINED",,,
"033232","13","NOT DEFINED",,,
"033232","14","BLACKLISTED DUE TO DISTANCE FROM REF. POINT",,,
"033232","15","BLACKLISTED DUE TO MODEL OROGRAPHY",,,
"033232","16","BLACKLISTED DUE TO LAND/SEA MASK",,,
"033232","17","STATION ALTITUDE BLACKLISTED",,,
"033232","18","LONGITUDE BLACKLISTED",,,
"033232","19","LATITUDE BLACKLISTED",,,
"033232","20","TIME BLACKLISTED",,,
"033232","21","DATE BLACKLISTED",,,
"033232","22","INSTRUMENT TYPE BLACKLISTED",,,
"033232","23","CODE TYPE BLACKLISTED",,,
"033232","24","STATION ID BLACKLISTED",,,
"033232","25","BLACKLISTED DUE TO FIRST GUESS DEPARTURE",,,
"033232","26","BLACKLISTED DUE TO OBSERVED VALUE",,,
"033232","27","BLACKLISTED DUE TO TYPE OF VERTICAL COORDINATE",,,
"033232","28","BLACKLISTED DUE TO PRESSURE CODE",,,
"033232","29","VARIABLE NAME BLACKLISTED",,,
"033232","30","MONTHLY MONITORING",,,
"033233","1","NOT DEFINED",,,
"033233","2","NOT DEFINED",,,
"033233","3","NOT DEFINED",,,
"033233","4","NOT DEFINED",,,
"033233","5","NOT DEFINED",,,
"033233","6","NOT DEFINED",,,
"033233","7","NOT DEFINED",,,
"033233","8","NOT DEFINED",,,
"033233","9","NOT DEFINED",,,
"033233","10","NOT DEFINED",,,
"033233","11","NOT DEFINED",,,
"033233","12","NOT DEFINED",,,
"033233","13","NOT DEFINED",,,
"033233","14","NOT DEFINED",,,
"033233","15","NOT DEFINED",,,
"033233","16","NOT DEFINED",,,
"033233","17","NOT DEFINED",,,
"033233","18","NOT DEFINED",,,
"033233","19","NOT DEFINED",,,
"033233","20","NOT DEFINED",,,
"033233","21","NOT DEFINED",,,
"033233","22","NOT DEFINED",,,
"033233","23","NOT DEFINED",,,
"033233","24","NOT DEFINED",,,
"033233","25","NOT DEFINED",,,
"033233","26","NOT DEFINED",,,
"033233","27","REPORT BLACK LISTED",,,
"033233","28","REPORT REJECTED",,,
"033233","29","REPORT PASSIVE",,,
"033233","30","REPORT ACTIVE",,,
"033234","1","NOT DEFINED",,,
"033234","2","NOT DEFINED",,,
"033234","3","NOT DEFINED",,,
"033234","4","NOT DEFINED",,,
"033234","5","NOT DEFINED",,,
"033234","6","NOT DEFINED",,,
"033234","7","NOT DEFINED",,,
"033234","8","NOT DEFINED",,,
"033234","9","NOT DEFINED",,,
"033234","10","NOT DEFINED",,,
"033234","11","NOT DEFINED",,,
"033234","12","NOT DEFINED",,,
"033234","13","NOT DEFINED",,,
"033234","14","NOT DEFINED",,,
"033234","15","NOT DEFINED",,,
"033234","16","NOT DEFINED",,,
"033234","17","NOT DEFINED",,,
"033234","18","NOT DEFINED",,,
"033234","19","NOT DEFINED",,,
"033234","20","NOT DEFINED",,,
"033234","21","NOT DEFINED",,,
"033234","22","NOT DEFINED",,,
"033234","23","NOT DEFINED",,,
"033234","24","NOT DEFINED",,,
"033234","25","NOT DEFINED",,,
"033234","26","NOT DEFINED",,,
"033234","27","DATUM BLACK LISTED",,,
"033234","28","DATUM REJECTED",,,
"033234","29","DATUM PASSIVE",,,
"033234","30","DATUM ACTIVE",,,
"033236","1","NOT DEFINED",,,
"033236","2","NOT DEFINED",,,
"033236","3","NOT DEFINED",,,
"033236","4","NOT DEFINED",,,
"033236","5","DATUM REJECTED DUE TO REJECTED REPORT",,,
"033236","6","COMBINED FLAGGING",,,
"033236","7","DATUM REJECTED DUE TO NAMELIST",,,
"033236","8","VERTICAL COORDINATE CHANGE FROM Z TO P",,,
"033236","9","VERTICAL CONSISTENCY CHECK",,,
"033236","10","LEVEL SELECTION",,,
"033236","11","MULTI LEVEL CHECK",,,
"033236","12","TOO MANY SURFACE DATA/LEVELS",,,
"033236","13","DUPLICATED DATUM/LEVEL",,,
"033236","14","NOT AN ANALYSIS VARIABLE",,,
"033236","15","REPORT OVER SEA",,,
"033236","16","REPORT OVER LAND",,,
"033236","17","REDUNDANT LEVEL",,,
"033236","18","REDUNDANT DATUM",,,
"033236","19","TOO BIG OBSERVATION ERROR",,,
"033236","20","TOO BIG DEPARTURE IN ASSIMILATION",,,
"033236","21","TOO BIG FIRST GUESS DEPARTURE",,,
"033236","22","REFERENCE LEVEL POSITION OUT OF RANGE",,,
"033236","23","VERTICAL POSITION OUT OF RANGE",,,
"033236","24","BAD REPORTING PRACTICE",,,
"033236","25","ACTIVATED BY WHITELIST",,,
"033236","26","ACTIVATED DUE TO RDB FLAG",,,
"033236","27","REJECTED DUE TO RDB FLAG",,,
"033236","28","MISSING FIRST GUESS VALUE",,,
"033236","29","MISSING OBSERVED VALUE",,,
"033236","30","MISSING VERTICAL COORDINATE",,,
"033237","1","NOT DEFINED",,,
"033237","2","NOT DEFINED",,,
"033237","3","NOT DEFINED",,,
"033237","4","NOT DEFINED",,,
"033237","5","NOT DEFINED",,,
"033237","6","NOT DEFINED",,,
"033237","7","NOT DEFINED",,,
"033237","8","NOT DEFINED",,,
"033237","9","NOT DEFINED",,,
"033237","10","NOT DEFINED",,,
"033237","11","NOT DEFINED",,,
"033237","12","NOT DEFINED",,,
"033237","13","NOT DEFINED",,,
"033237","14","NOT DEFINED",,,
"033237","15","NOT DEFINED",,,
"033237","16","NOT DEFINED",,,
"033237","17","NOT DEFINED",,,
"033237","18","NOT DEFINED",,,
"033237","19","NOT DEFINED",,,
"033237","20","NOT DEFINED",,,
"033237","21","NOT DEFINED",,,
"033237","22","NOT DEFINED",,,
"033237","23","NOT DEFINED",,,
"033237","24","NOT DEFINED",,,
"033237","25","NOT DEFINED",,,
"033237","26","NOT DEFINED",,,
"033237","27","NOT DEFINED",,,
"033237","28","NOT DEFINED",,,
"033237","29","NOT DEFINED",,,
"033237","30","NOT DEFINED",,,
"033238","1","NOT DEFINED",,,
"033238","2","NOT DEFINED",,,
"033238","3","NOT DEFINED",,,
"033238","4","NOT DEFINED",,,
"033238","5","NOT DEFINED",,,
"033238","6","NOT DEFINED",,,
"033238","7","NOT DEFINED",,,
"033238","8","NOT DEFINED",,,
"033238","9","NOT DEFINED",,,
"033238","10","NOT DEFINED",,,
"033238","11","NOT DEFINED",,,
"033238","12","NOT DEFINED",,,
"033238","13","NOT DEFINED",,,
"033238","14","NOT DEFINED",,,
"033238","15","NOT DEFINED",,,
"033238","16","NOT DEFINED",,,
"033238","17","NOT DEFINED",,,
"033238","18","NOT DEFINED",,,
"033238","19","NOT DEFINED",,,
"033238","20","NOT DEFINED",,,
"033238","21","NOT DEFINED",,,
"033238","22","NOT DEFINED",,,
"033238","23","NOT DEFINED",,,
"033238","24","NOT DEFINED",,,
"033238","25","NOT DEFINED",,,
