"FXY","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en"
"013202","0","LAND",,,
"013202","1","VEGETATION",,,
"013202","3","MULTI-YEAR ICE",,,
"013202","4","POSSIBLE ICE OR FIRST YEAR ICE",,,
"013202","5","OCEAN",,,
"013202","6","COASTLINE",,,
"013202","15","MISSING",,,
"020252","0","NO EDGE",,,
"020252","1","EDGE PRESENT",,,
"020252","7","MISSING",,,
"020253","0","LAND",,,
"020253","1","VEGETATION COVERED LAND",,,
"020253","2","RESERVED",,,
"020253","3","ICE",,,
"020253","4","POSSIBLE ICE",,,
"020253","5","OCEAN",,,
"020253","6","COAST",,,
"020253","7","MISSING",,,
"021196","1","PROCESSING EQUIPMENT NOT WORKING",,,
"021196","2","EQUIPMENT FAILED",,,
"021196","3","PRF CODE CHANGED DURING IMAGE GENERATION",,,
"021196","4","SAMPLING WINDOW CHANGED DURING IMAGE GENERATION",,,
"021196","5","GAIN CHANGED DURING IMAGE GENERATION",,,
"021196","6","CHIRP REPLICA EXCEEDS SPECIFIED VALUE",,,
"021196","7","INPUT DATA MEAN AND STANDARD DEVIATION OF I AND Q OUT OF RANGE",,,
"021196","8","DOPPLER CENTROID CONFIDENCE > MMCC VALUE",,,
"021196","9","DOPPLER CENTROID ABSOLUTE VCALUE > PRF/2",,,
"021196","10","DOPPLER AMBIGUITY CONFIDENCE < MMCC VALUE",,,
"021196","11","OUTPUT DATA MEAN AND STANDARD DEVIATION <= MMCC VALUE",,,
"021196","12","MISSING VALUE",,,
"021199","1","3.7 MICRO CHANNEL USED IN ASST DERIVATION",,,
"021199","2","ASST DERIVATION USED DATTIME DATA",,,
"021199","3","COMPARISON OF ASST AGAINST PREVIOUS""    EQUIVALENT PASS PERFORMED",,,
"021199","4","COMPARISON OF ASST AGAINST WEEKLY AVERAGE""    OF ASST PERFORMED",,,
"021199","5",,,,
"021199","6","COMPARISON OF RATE OF CHANGE OF ASST AGAINST""    STATIC TRESHOLD PERFORMED",,,
"021199","7","MISSING VALUE",,,
"002194","0","FGGE",,,
"002194","15","MISSING VALUE",,,
"002196","0","NIMBUS",,,
"002196","1","VTPR",,,
"002196","2","TIROS 1   ( TIROS NOAA 6 TO NOAA 13)",,,
"002196","3","TIROS 2   ( NOAA-14 ONWARD)",,,
"002196","31","DMSP",,,
"002196","61","EUMETSAT POLAR SYSTEM (EPS)",,,
"002196","91","ERS",,,
"002196","121","ADEOS",,,
"002196","241","GOES",,,
"002196","271","GMS",,,
"002196","301","INSAT",,,
"002196","331","METEOSAT OPERATIONAL PROGRAMME(MOP)",,,
"002196","332","METEOSAT TRANSITIONAL PROGRAMME(MTP)",,,
"002196","333","METEOSAT SECOND GENERATION PROGRAMME(MSG)",,,
"002196","351","GOMS",,,
"002196","381","FY-2",,,
"002196","512","MISSING VALUE",,,
"002199","0","RESERVED",,,
"002199","1","TABLE WITH FULL RANGE OF HUMMIDITY VALUES IN LAYER",,,
"002199","2","REGRESSION TECHNIQUE ON 2 HUMMIDITY VALUES IN LAYER",,,
"002199","15","MISSING VALUE",,,
"002231","0","RESERVED",,,
"002231","1","IRW HEIGHT ASSIGNMENT",,,
"002231","2","WV HEIGHT ASSIGNMENT",,,
"002231","3","H2O INTERCEPT HEIGHT ASSIGNMENT",,,
"002231","4","CO2 SLICING HEIGHT ASSIGNMENT",,,
"002231","5","LOW PIXEL MAX GRADIENT",,,
"002231","6","HIGHER PIXEL MAX GRADIENT",,,
"002231","7","PRIMARY HEIGHT ASSIGNMENT",,,
"002231","8","LAYER THICKNESS ASSIGNMENT",,,
"002231","9","CUMULATIVE CONTRIBUTION FUNCTION -10 PERCENT HEIGHT",,,
"002231","10","CUMULATIVE CONTRIBUTION FUNCTION -50 PERCENT HEIGHT",,,
"002231","11","CUMULATIVE CONTRIBUTION FUNCTION -90 PERCENT HEIGHT",,,
"002231","12","CUMULATIVE CONTRIBUTION FUNCTION - HEIGHT OF""     MAXIMUM GRADIENT",,,
"002231","14","COMPOSITE HEIGHT ASSIGNMENT",,,
"002231","15","MISSING VALUE",,,
"002232","0","P - NORMS LEAST SQUARE MINIMUM",,,
"002232","1","EN - EUCLIDEAN NORM WITH RADIANCE CORRELATION",,,
"002232","2","CC - CROSS CORRELATION",,,
"002232","3","MISSING VALUE",,,
"002251","0","METHOD NOT DEFINED",,,
"002251","1","1B RAW RADIANCE",,,
"002251","2","PROCESSED RADIANCE",,,
"002251","15","MISSING VALUE",,,
"002252","1","HIGH-RESOLUTION INFRARED SOUNDER(HIRS)",,,
"002252","2","STRATOSPHERIC SOUNDING UNIT (SSU)",,,
"002252","3","STRATOSPHERIC SOUNDING UNIT (SSU)",,,
"002252","4","AMI WIND MODE",,,
"002252","5","AMI WAVE MODE",,,
"002252","6","AMI IMAGE MODE",,,
"002252","7","RADAR ALTIMETER",,,
"002252","8","ATSR",,,
"002252","9","GEOSTATIONARY IMAGER",,,
"002252","10","GEOSTATIONARY SOUNDER",,,
"002252","11","GEOSTATIONARY EARTH RADIATION (GERB)",,,
"002252","31","ALL BITS SET - MISSING VALUE",,,
"002254","0","TYPE NOT DEFINED",,,
"002254","1","AUTOMATED STATISTICAL REGRESSION",,,
"002254","2","CLEAR PATH",,,
"002254","3","PARTLY CLOUDY PATH",,,
"002254","4","CLOUDY PATH",,,
"002254","15","MISSING VALUE",,,
"033195","0","DEALIASING NOT USED",,,
"033195","1","DEALIASING USED",,,
"033195","2","RESERVED",,,
"033195","3","MISSING",,,
"033205","0","DATUM CORRECT",,,
"033205","1","DATUM PROBABLY CORRECT",,,
"033205","2","DATUM PROBABLY INCORRECT",,,
