"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"001192","ICAO location indicator",,"CCITT IA5","0","0","32"
"001193","Type of data",,"Code table","0","0","3"
"001194","Type of recco observation",,"Code table","0","0","2"
"001195","Area of min QNH forecast",,"Numeric","0","0","4"
"001196","Template version",,"Numeric","1","0","7"
"001197","Sensor index",,"Numeric","0","0","5"
"001200","Report triggering weather element",,"Code table","0","0","6"
"001201","Place of obs. of visibilty/cloud cover",,"Numeric","0","0","4"
"001241","State/federal state identifier",,"CCITT IA5","0","0","32"
"001242","Highway designator",,"CCITT IA5","0","0","40"
"001243","Routes kilometer of road",,"m","-2","0","14"
"002192","Cor message mark",,"Code table","0","0","8"
"002193","Pseudo report",,"Flag table","0","0","2"
"002201","Overall quality bits",,"Code table","0","0","5"
"002221","Units of elevation/confidence factor",,"Code table","0","0","4"
"002222","Satell.data process.techn.used f.tropop.",,"Code table","0","0","4"
"002231","Verification: observation code type",,"Code table","0","0","8"
"002241","Name of road sensor manufacturer",,"Code table","0","0","4"
"002242","Position of road sensors",,"Code table","0","0","4"
"002243","Extended type of station",,"Flag table","0","0","6"
"002244","Type of road",,"Code table","0","0","5"
"002245","Type of construction",,"Code table","0","0","4"
"004192","Duration of time relat.to follow.value",,"Code table","0","0","4"
"004193","Day of occ.of data val.of prev.element",,"d","0","0","6"
"004194","Duration of precipit.during past hour",,"min","0","0","6"
"004201","Number of days with precipitation ge 1MM",,"Numeric","0","0","6"
"004202","Number of days with spec.wea.phenomena",,"d","0","0","6"
"004214","Actual hour of observation",,"h","0","0","5"
"004215","Actual minute of observation",,"min","0","0","6"
"005195","Ensemble member number (ecmf)",,"Numeric","0","0","7"
"005231","Verif.:x-coord.of ref.model grid point",,"Numeric","0","0","12"
"005232","Verif.:number of grid points in x direct",,"Numeric","0","0","12"
"006192","Distance (recco)",,"Code table","0","0","4"
"006231","Verif.:y-coord.of ref.model grid point",,"Numeric","0","0","12"
"006232","Verif.:number of grid points in y direct",,"Numeric","0","0","12"
"007231","Height of model orography",,"m","0","-400","15"
"008192","Field from which deviation is calculated",,"Code table","0","0","6"
"008193","Sea-level pressure or geop. height sign.",,"Code table","0","0","4"
"008195","Data type (ecmf)",,"Code table","0","0","7"
"008196","Amount of ice singificance",,"Code table","0","0","3"
"008197","Openings in the ice significance",,"Code table","0","0","3"
"008198","Data group",,"Code table","0","0","4"
"008199","Extended time significance",,"Code table","0","0","5"
"008231","Verification: report characteristics",,"Code table","0","0","10"
"010192","Depth of roots",,"m","2","0","10"
"010193","Height of lightning strike (over nn)",,"m","-1","0","11"
"011192","U-component at 10 m",,"m/s","1","-4096","13"
"011193","V-component at 10 m",,"m/s","1","-4096","13"
"011194","Boundary layer depth",,"m","0","0","13"
"011195","Radius of zone",,"m","4","0","35"
"011196","Angle of propagation",,"degree true","-1","0","4"
"011197","Size of zone",,"m","4","0","35"
"011198","Probability of gusts",,"%","0","0","7"
"011199","Force of surface wind (beaufort scale)",,"Code table","0","0","4"
"011200","Turbulence",,"Code table","0","0","4"
"011201","Type of wind at flight level",,"Code table","0","0","4"
"011202","Mean wind speed from 6 10MIN-measurement",,"m/s","1","0","12"
"011203","Quotient of vect.u.scal.mean of wind sp.",,"Numeric","2","0","12"
"011204","Square root of the ew variance of ff",,"m/s","3","0","15"
"011205","Signed covariance of wind speed",,"m/s","3","-16384","16"
"011206","Square root of nw variance of wind speed",,"m/s","3","0","15"
"011207","Minimum wind speed",,"m/s","1","0","12"
"011208","Reliability of wind at flight level",,"Code table","0","0","4"
"011209","Wind direction (estimated)",,"Code table","0","0","6"
"012192","Ground minimum TEMP.,past 10 hours(clim)",,"K","1","0","12"
"012193","Depth of snow above ground minimum therm",,"m","2","-2","10"
"012194","Ground minimum TEMP.,period specified",,"K","1","0","12"
"012195","Snow above ground minimum therm., y/n",,"Code table","0","0","2"
"012196","Inverse monin-obukhov length",,"m-1","3","-100000","18"
"012197","Air stability",,"Code table","0","0","4"
"012199","Max. temper. at 2 m, past 6 hours, ecmf",,"K","1","0","12"
"012200","Min. temper. at 2 m, past 6 hours, ecmf",,"K","1","0","12"
"012201","Water/ice/sign(wet bulb temperature)",,"Code table","0","0","4"
"012202","Mean temperature at 2M",,"K","2","0","16"
"012211","Dry bulb TEMP.at 2 m, deviat.from normal",,"K","1","-128","8"
"012212","Dry bulb tt 2M,deviat.from norm.(hi.acc)",,"K","2","-1000","12"
"012221","Temperat.at bottom of middle soil layer",,"K","1","0","12"
"012222","Temperature of snow cover",,"K","1","0","12"
"012223","Temperature at top of middle soil layer",,"K","1","0","12"
"012224","Body temperature of the pyrgeometer",,"K","2","0","16"
"012225","Cover temperature of the pyrgeometer",,"K","2","0","16"
"012241","Road surface temperature",,"K","2","0","16"
"012242","Road sub-surface temperature",,"K","2","0","16"
"013192","Frequency group, prec. (until 1 nov 94)",,"Code table","0","0","4"
"013193","Total precipitation for the month",,"%","0","0","12"
"013194","Maximum of daily precipitation",,"m","4","-1","14"
"013195","Atp 45 stability category",,"Code table","0","0","4"
"013196","Type of precipitation",,"Code table","0","0","3"
"013198","Probability of precipitation",,"%","0","0","7"
"013201","Total depth of snow at snow sampler",,"m","2","-2","16"
"013202","Total water equivalent at snow sampler",,"m","4","-1","14"
"013203","Total water equivalent at snow sampler",,"M/M","2","0","7"
"013204","Snow, large scale + convective",,"kg m-2","1","-1","14"
"013205","Large scale precipition (rain and snow)",,"m","4","0","14"
"013206","Convective precipition (rain and snow)",,"m","4","0","14"
"013207","Skin reservoir content",,"m","5","0","20"
"013208","Surface water runoff",,"kg m-2","2","-1","19"
"013209","Ground water runoff",,"kg m-2","2","-1","19"
"013211","Soil humidity",,"m","-3","0","7"
"013221","Total water contents in lower soil layer",,"m","4","0","14"
"013222","Total water contents i.middle soil layer",,"m","4","0","14"
"013223","Total water contents i.upper soil layer",,"m","4","0","14"
"013224","Specific humidity at surf./earth or snow",,"kg/kg","5","0","14"
"013225","Large scale rain during forecast time",,"m","4","0","14"
"013226","Large scale snow during forecast time",,"m","4","0","14"
"013227","Convective rain during forecast time",,"m","4","0","14"
"013228","Convective snow during forecast time",,"m","4","0","14"
"013229","Mixing ratio in fog",,"kg/kg","5","0","14"
"013230","Cloud water content",,"kg/kg","7","0","14"
"013231","Total precipitation past 10 minutes",,"kg m-2","2","-1","14"
"013232","Precipitation occured",,"Code table","0","0","2"
"013233","Humid temperature",,"K","2","0","16"
"013234","State of humidity",,"Code table","0","0","2"
"013235","Number of days for controlling measurme.",,"d","0","0","5"
"013236","Block of precipitation and snow cover",,"CCITT IA5","0","0","64"
"013237","Snow cover",,"Code table","0","0","3"
"013241","Water film thickness",,"m","3","0","7"
"014192","Total sunshine for the month",,"%","0","0","9"
"014193","Surface heat flux density",,"W m-2","1","-5000","14"
"014198","Sunshine",,"%","0","0","7"
"014201","Photosythetic active radiation at surf.",,"J m-2","-3","-2048","12"
"014202","Albedo of surface (short wave)",,"%","0","0","7"
"014203","Thermal radiation of the atmosphere",,"J m-2","-2","0","16"
"014204","Duration of sunshine using the woz",,"min","0","0","11"
"014205","Corrected diffuse solar radiation (high accuracy), integrated over period specified",,"J m-2","-2","0","20"
"014206","Calculated total sunshine",,"min","0","0","11"
"015192","Ozone, vertically integrated",,"Pa","4","0","14"
"015193","Pressure of ozone maximum",,"Pa","-1","0","14"
"015195","Path delay due to neutral atmosphere",,"m","4","0","20"
"015196","Estimated error in neutral atmosphere path delay",,"m","4","0","14"
"015197","Zenith path delay due to neutral atmosphere",,"m","4","0","15"
"015198","Estimated error in neutral atmosphere zenith path delay",,"m","4","0","12"
"015199","Wet path delay due to neutral atmosphere",,"m","4","0","18"
"015200","Path integrated water vapour",,"kg m-2","1","0","16"
"015201","GNSS derived neutral atmosphere gradient",,"m","5","0","14"
"015202","GNSS least squares residual",,"m","4","0","14"
"015203","GNSS multi-path delay",,"m","4","0","14"
"015204","GNSS hydrostatic mapping function",,"Numeric","3","0","16"
"015205","GNSS wet mapping function",,"Numeric","3","0","16"
"015206","GNSS gradient mapping function",,"Numeric","3","0","16"
"015207","Zenith path delay due to neutral hydrostatic atmosphere",,"m","4","0","15"
"015208","Path delay due to neutral hydrostatic atmosphere",,"m","4","0","20"
"020192","Type of special weather phenomena",,"Code table","0","0","5"
"020193","Additional weather phenomena",,"Code table","0","0","7"
"020194","Height of top of phenomena",,"m","-1","-40","11"
"020195","Weather phenomena",,"Code table","0","0","4"
"020196","Direction of main occ.of weather phen.",,"deg","0","0","12"
"020197","Base of cloud class",,"Numeric","0","0","4"
"020198","Number of values in base of cloud class",,"Numeric","0","0","4"
"020199","Lowest height o.base o.cloud dur.last h.",,"m","-1","-40","11"
"020200","Amount of (convective) clouds",,"%","0","0","7"
"020201","Precipit.at time of observ.(autom.stat.)",,"Code table","0","0","2"
"020202","Present weather (climatolog.observation)",,"Code table","0","0","8"
"020203","Form of precipitation",,"Code table","0","0","4"
"020204","Fallen precipitation (day before)",,"Code table","0","0","6"
"020205","Dew, rime etc. (day before)",,"Code table","0","0","7"
"020206","Other weather (day before)",,"Code table","0","0","4"
"020207","Flight conditions",,"Code table","0","0","3"
"020208","Present weather (mawec)",,"Code table","0","0","4"
"020209","Moisture of ground",,"Code table","0","0","3"
"020210","Significant weatrher phenomena (metgm)",,"Code table","0","0","4"
"020211","Precipitation during preceding hour y/n",,"Code table","0","0","2"
"020212","Amount of sea ice",,"Code table","0","0","4"
"020213","Amount of fast ice",,"Code table","0","0","4"
"020214","Sea-ice topography",,"Code table","0","0","4"
"020215","Sea-ice openings",,"Code table","0","0","4"
"020216","Direction main occ.of weather phen. tab.",,"Code table","0","0","4"
"020217","Significant weather phenomena (nbc cdm)",,"Code table","0","0","4"
"020218","Cloud cover (nbc cdm)",,"Code table","0","0","2"
"020219","Present weather (suprep)",,"Code table","0","0","4"
"020220","Amplification of phe. rep. by 020219",,"Code table","0","0","4"
"020221","Intensity or proximity of weather",,"Code table","0","0","3"
"020222","Descriptor of weather",,"CCITT IA5","0","0","16"
"020223","Weather phenomena (METAR)",,"CCITT IA5","0","0","48"
"020224","State of road in vicinity of obs point",,"Code table","0","0","4"
"020225","State of terrain prev. in vici. of obs p",,"Code table","0","0","4"
"020226","Present weather (tarwi)",,"Code table","0","0","4"
"020227","Amplitude of lightning strike",,"A","-2","-16384","15"
"020228","Lightning strike classification",,"Code table","0","0","2"
"020229","Lightning detection error",,"m","0","0","16"
"020230","Cloud cover of the hill - code table 50",,"Code table","0","0","4"
"020231","Vertical cloud amount",,"%","0","0","7"
"020232","Modified cloud amount",,"%","0","0","7"
"020233","Verification: derived low cloud cover",,"%","0","0","7"
"020234","Max. meteorolog. optical range",,"m","0","0","14"
"020235","Min. meteorolog. optical range",,"m","0","0","14"
"020236","Meteorolog. optical range",,"m","0","0","14"
"020237","Meteorological optical range",,"m","0","0","18"
"020238","Minimum meteorological optical range",,"m","0","0","18"
"020239","Maximum meteorological optical range",,"m","0","0","18"
"020240","Horizontal visibility (estimated)",,"Code table","0","0","4"
"020241","Road surface condition",,"Code table","0","0","4"
"021192","Orientation of ellipse",,"Code table","0","0","4"
"021193","Echo width or diameter",,"m","-1","0","15"
"021194","Length of echo axis",,"m","-1","0","15"
